rainfall_1h,rainfall_6h,rainfall_24h,rainfall_72h,API_3d,API_7d,API_30d,rainfall_accumulation_3h,rainfall_intensity_3h,rainfall_acceleration,soil_moisture,soil_moisture_trend_24h,pore_pressure,pore_pressure_trend_24h,tilt,tilt_rate_24h,ground_displacement,displacement_velocity_24h,seismic_magnitude,seismic_distance,seismic_trigger_score,seismic_recency_hours,elevation,slope,aspect,curvature,NDVI,NDVI_change,historical_landslide_density,static_susceptibility,road_criticality,population_exposure,FoS,CRI,sector_id,timestamp,event_label,geographic_group,provenance
20.7,59.1,147.68888565592485,236.3,177.2,271.7,378.1,39.9,19.7,1.02,0.526,0.16,27.7,9.2,4.0,1.29,26.3,24.5,0.0,999.0,0.0,999.0,821.8,43.9,233.9,0.0219,0.53,-0.14,0.015,0.8,0.75,600.0,0.83,75.9,DEMO-SEC-12,2026-09-08T11:00:00Z,1,demo_synthetic_cluster,[DEMO]
8.1,23.2,57.98302608651236,92.8,69.6,106.7,148.5,15.6,7.7,0.38,0.314,0.05,7.5,0.7,0.3,0.0,1.5,0.5,0.0,999.0,0.0,999.0,1397.6,25.9,8.8,-0.0025,0.69,0.05,0.015,0.35,0.75,600.0,1.52,16.8,DEMO-SEC-13,2026-09-08T12:00:00Z,0,demo_synthetic_cluster,[DEMO]
33.1,94.5,236.33203009480366,378.1,283.6,434.8,605.0,63.8,31.5,2.28,0.576,0.25,29.9,7.7,3.18,1.84,32.2,22.5,0.0,999.0,0.0,999.0,595.8,40.9,337.0,0.0035,0.51,-0.23,0.015,0.89,0.75,600.0,0.89,77.9,DEMO-SEC-14,2026-09-08T13:00:00Z,1,demo_synthetic_cluster,[DEMO]
6.3,18.1,45.30602316469242,72.5,54.4,83.4,116.0,12.2,6.0,0.32,0.326,0.04,4.2,0.7,0.2,0.04,2.0,0.0,0.0,999.0,0.0,999.0,1674.2,29.2,180.5,0.0158,0.78,0.03,0.015,0.4,0.75,600.0,1.73,40.3,DEMO-SEC-15,2026-09-08T14:00:00Z,0,demo_synthetic_cluster,[DEMO]
18.8,53.6,133.95365011764164,214.3,160.7,246.4,342.9,36.2,17.9,2.29,0.516,0.11,25.6,6.6,3.16,1.86,39.9,15.8,0.0,999.0,0.0,999.0,1542.8,37.8,45.7,-0.0173,0.55,-0.21,0.015,0.86,0.75,600.0,0.56,70.9,DEMO-SEC-16,2026-09-08T15:00:00Z,1,demo_synthetic_cluster,[DEMO]
6.6,18.9,47.195936691973,75.5,56.6,86.8,120.8,12.8,6.3,0.07,0.376,0.01,5.4,0.5,0.21,0.05,2.0,0.4,0.0,999.0,0.0,999.0,463.8,22.4,346.6,0.0203,0.79,0.01,0.015,0.43,0.75,600.0,1.38,25.4,DEMO-SEC-17,2026-09-08T16:00:00Z,0,demo_synthetic_cluster,[DEMO]
22.5,64.3,160.7927286640537,257.3,193.0,295.9,411.7,43.4,21.4,2.85,0.575,0.21,28.3,11.7,3.78,1.0,40.6,14.8,0.0,999.0,0.0,999.0,866.2,44.1,5.2,-0.0661,0.41,-0.24,0.015,0.82,0.75,600.0,0.72,76.2,DEMO-SEC-18,2026-09-08T17:00:00Z,1,demo_synthetic_cluster,[DEMO]
1.6,4.5,11.258121544150987,18.0,13.5,20.7,28.8,3.0,1.5,0.26,0.278,0.0,4.5,1.2,0.36,0.09,1.6,0.3,0.0,999.0,0.0,999.0,1257.5,29.0,308.3,-0.001,0.68,-0.02,0.015,0.34,0.75,600.0,1.23,23.1,DEMO-SEC-19,2026-09-08T18:00:00Z,0,demo_synthetic_cluster,[DEMO]
28.1,80.3,200.76170402865887,321.2,240.9,369.4,513.9,54.2,26.8,0.97,0.515,0.15,25.6,16.1,4.67,0.85,32.3,21.3,0.0,999.0,0.0,999.0,633.9,33.1,36.3,-0.0778,0.42,-0.11,0.015,0.77,0.75,600.0,0.93,92.6,DEMO-SEC-20,2026-09-08T19:00:00Z,1,demo_synthetic_cluster,[DEMO]
1.1,3.1,7.680713795407657,12.3,9.2,14.1,19.7,2.1,1.0,0.31,0.325,0.02,6.2,1.9,0.49,0.09,1.9,0.2,0.0,999.0,0.0,999.0,607.3,32.5,290.5,0.0389,0.73,0.01,0.015,0.46,0.75,600.0,1.72,19.9,DEMO-SEC-21,2026-09-08T20:00:00Z,0,demo_synthetic_cluster,[DEMO]
29.8,85.2,212.99971614931508,340.8,255.6,391.9,545.3,57.5,28.4,3.08,0.472,0.19,30.6,13.6,3.66,1.7,48.6,10.9,0.0,999.0,0.0,999.0,914.3,32.2,325.9,-0.069,0.46,-0.06,0.015,0.78,0.75,600.0,0.68,92.4,DEMO-SEC-22,2026-09-08T21:00:00Z,1,demo_synthetic_cluster,[DEMO]
6.1,17.5,43.713699645007495,69.9,52.4,80.4,111.8,11.8,5.8,0.3,0.335,0.03,7.4,0.2,0.44,0.01,0.3,0.4,0.0,999.0,0.0,999.0,1146.8,28.2,319.6,-0.0379,0.67,-0.01,0.015,0.23,0.75,600.0,1.52,12.0,DEMO-SEC-23,2026-09-08T22:00:00Z,0,demo_synthetic_cluster,[DEMO]
30.9,88.2,220.40460652193917,352.6,264.5,405.5,564.2,59.5,29.4,2.67,0.545,0.18,19.1,11.1,2.7,2.61,54.5,7.2,0.0,999.0,0.0,999.0,1528.6,47.2,355.0,0.0104,0.48,-0.23,0.015,0.82,0.75,600.0,0.7,79.3,DEMO-SEC-24,2026-09-08T23:00:00Z,1,demo_synthetic_cluster,[DEMO]
0.1,0.3,0.7379869098822395,1.2,0.9,1.4,1.9,0.2,0.1,0.39,0.284,0.0,1.9,1.9,0.11,0.0,0.4,0.4,0.0,999.0,0.0,999.0,1195.9,35.5,135.0,-0.0457,0.82,-0.0,0.015,0.38,0.75,600.0,1.62,36.1,DEMO-SEC-25,2026-09-08T00:00:00Z,0,demo_synthetic_cluster,[DEMO]
