sample_id,event_id,sector_id,state,district,timestamp,latitude,longitude,event_date,lead_time_to_event_hours,is_event_sample,target_6h,target_12h,target_24h,target_48h,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,antecedent_rain_3d,antecedent_rain_7d,rain_intensity,rainfall_threshold_exceedance,fos,slope,aspect,elevation,curvature,soil_moisture,pore_pressure,tilt,ground_displacement,ndvi,ndvi_anomaly,seismic_count_24h,max_magnitude_24h,nearest_seismic_distance,historical_susceptibility,source,provenance,control_reason,distance_from_event_km,time_from_event_days
EV-03-Tminus48h,EV-03,SK-SINGTAM-01,Sikkim,Gangtok,2023-10-02T01:30:00Z,27.234,88.498,2023-10-04T01:30:00Z,48.0,1,0,0,0,1,2.6,5.7,9.5,19.6,28.0,37.8,47.6,40.5,59.5,2.6,0,0.976,39.0,180.0,420.0,-0.05,0.377,11.9,0.58,5.2,0.52,-0.007,0,0.0,999.0,0.9,South Lhonak GLOF / GSI Assessment,[HISTORICAL],none_event_antecedent_window,,
EV-03-Tminus36h,EV-03,SK-SINGTAM-01,Sikkim,Gangtok,2023-10-02T13:30:00Z,27.234,88.498,2023-10-04T01:30:00Z,36.0,1,0,0,0,1,4.3,9.5,15.8,34.3,49.0,66.2,83.3,70.8,104.1,4.3,0,0.876,39.0,180.0,420.0,-0.05,0.435,17.0,0.97,9.75,0.52,-0.01,0,0.0,999.0,0.9,South Lhonak GLOF / GSI Assessment,[HISTORICAL],none_event_antecedent_window,,
EV-03-Tminus24h,EV-03,SK-SINGTAM-01,Sikkim,Gangtok,2023-10-03T01:30:00Z,27.234,88.498,2023-10-04T01:30:00Z,24.0,1,0,0,1,1,7.7,17.0,28.4,58.8,84.0,113.4,142.8,121.4,178.5,7.7,0,0.743,39.0,180.0,420.0,-0.05,0.493,23.8,1.75,19.5,0.52,-0.015,0,0.0,999.0,0.9,South Lhonak GLOF / GSI Assessment,[HISTORICAL],none_event_antecedent_window,,
EV-03-Tminus12h,EV-03,SK-SINGTAM-01,Sikkim,Gangtok,2023-10-03T13:30:00Z,27.234,88.498,2023-10-04T01:30:00Z,12.0,1,0,1,1,1,12.7,28.3,47.2,83.3,119.0,160.7,202.3,172.0,252.9,12.7,0,0.623,39.0,180.0,420.0,-0.05,0.551,29.92,2.92,39.0,0.52,-0.03,0,0.0,999.0,0.9,South Lhonak GLOF / GSI Assessment,[HISTORICAL],none_event_antecedent_window,,
EV-03-Tminus6h,EV-03,SK-SINGTAM-01,Sikkim,Gangtok,2023-10-03T19:30:00Z,27.234,88.498,2023-10-04T01:30:00Z,6.0,1,1,1,1,1,17.0,37.8,63.0,98.0,140.0,189.0,238.0,202.3,297.5,17.0,0,0.543,39.0,180.0,420.0,-0.05,0.58,34.0,3.7,55.25,0.52,-0.06,0,0.0,999.0,0.9,South Lhonak GLOF / GSI Assessment,[HISTORICAL],none_event_antecedent_window,,
EV-04-Tminus48h,EV-04,MN-NONEY-01,Manipur,Noney,2022-06-27T23:30:00Z,24.7865,93.6394,2022-06-29T23:30:00Z,48.0,1,0,0,0,1,3.3,7.3,12.1,25.2,36.0,48.6,61.2,52.0,76.5,3.3,0,0.967,41.5,225.0,640.0,-0.07,0.338,9.24,0.58,3.4,0.52,-0.007,0,0.0,999.0,0.85,GSI Disaster Report GSI-NER-MN-2022-004,[HISTORICAL],none_event_antecedent_window,,
EV-04-Tminus36h,EV-04,MN-NONEY-01,Manipur,Noney,2022-06-28T11:30:00Z,24.7865,93.6394,2022-06-29T23:30:00Z,36.0,1,0,0,0,1,5.4,12.1,20.2,44.1,63.0,85.1,107.1,91.0,133.9,5.4,0,0.891,41.5,225.0,640.0,-0.07,0.39,13.2,0.96,6.38,0.52,-0.01,0,0.0,999.0,0.85,GSI Disaster Report GSI-NER-MN-2022-004,[HISTORICAL],none_event_antecedent_window,,
EV-04-Tminus24h,EV-04,MN-NONEY-01,Manipur,Noney,2022-06-28T23:30:00Z,24.7865,93.6394,2022-06-29T23:30:00Z,24.0,1,0,0,1,1,9.9,21.9,36.5,75.6,108.0,145.8,183.6,156.1,229.5,9.9,0,0.789,41.5,225.0,640.0,-0.07,0.442,18.48,1.73,12.75,0.52,-0.015,0,0.0,999.0,0.85,GSI Disaster Report GSI-NER-MN-2022-004,[HISTORICAL],none_event_antecedent_window,,
EV-04-Tminus12h,EV-04,MN-NONEY-01,Manipur,Noney,2022-06-29T11:30:00Z,24.7865,93.6394,2022-06-29T23:30:00Z,12.0,1,0,1,1,1,16.4,36.5,60.8,107.1,153.0,206.6,260.1,221.1,325.1,16.4,1,0.697,41.5,225.0,640.0,-0.07,0.494,23.23,2.89,25.5,0.52,-0.03,0,0.0,999.0,0.85,GSI Disaster Report GSI-NER-MN-2022-004,[HISTORICAL],none_event_antecedent_window,,
EV-04-Tminus6h,EV-04,MN-NONEY-01,Manipur,Noney,2022-06-29T17:30:00Z,24.7865,93.6394,2022-06-29T23:30:00Z,6.0,1,1,1,1,1,21.9,48.6,81.0,126.0,180.0,243.0,306.0,260.1,382.5,21.9,1,0.636,41.5,225.0,640.0,-0.07,0.52,26.4,3.66,36.12,0.52,-0.06,0,0.0,999.0,0.85,GSI Disaster Report GSI-NER-MN-2022-004,[HISTORICAL],none_event_antecedent_window,,
EV-05-Tminus48h,EV-05,MN-TAMENG-01,Manipur,Tamenglong,2024-06-30T08:00:00Z,24.985,93.49,2024-07-02T08:00:00Z,48.0,1,0,0,0,1,3.0,6.7,11.1,23.1,33.0,44.6,56.1,47.7,70.1,3.0,0,1.072,38.0,170.0,1100.0,-0.04,0.325,8.4,0.48,2.88,0.52,-0.007,0,0.0,999.0,0.82,Manipur SDMA Monsoon Bulletin,[HISTORICAL],none_event_antecedent_window,,
EV-05-Tminus36h,EV-05,MN-TAMENG-01,Manipur,Tamenglong,2024-06-30T20:00:00Z,24.985,93.49,2024-07-02T08:00:00Z,36.0,1,0,0,0,1,5.0,11.1,18.5,40.4,57.7,77.9,98.1,83.4,122.6,5.0,0,1.001,38.0,170.0,1100.0,-0.04,0.375,12.0,0.8,5.4,0.52,-0.01,0,0.0,999.0,0.82,Manipur SDMA Monsoon Bulletin,[HISTORICAL],none_event_antecedent_window,,
EV-05-Tminus24h,EV-05,MN-TAMENG-01,Manipur,Tamenglong,2024-07-01T08:00:00Z,24.985,93.49,2024-07-02T08:00:00Z,24.0,1,0,0,1,1,9.0,20.0,33.4,69.3,99.0,133.7,168.3,143.1,210.4,9.0,0,0.906,38.0,170.0,1100.0,-0.04,0.425,16.8,1.44,10.8,0.52,-0.015,0,0.0,999.0,0.82,Manipur SDMA Monsoon Bulletin,[HISTORICAL],none_event_antecedent_window,,
EV-05-Tminus12h,EV-05,MN-TAMENG-01,Manipur,Tamenglong,2024-07-01T20:00:00Z,24.985,93.49,2024-07-02T08:00:00Z,12.0,1,0,1,1,1,15.0,33.4,55.7,98.1,140.2,189.3,238.3,202.6,297.9,15.0,0,0.821,38.0,170.0,1100.0,-0.04,0.475,21.12,2.4,21.6,0.52,-0.03,0,0.0,999.0,0.82,Manipur SDMA Monsoon Bulletin,[HISTORICAL],none_event_antecedent_window,,
EV-05-Tminus6h,EV-05,MN-TAMENG-01,Manipur,Tamenglong,2024-07-02T02:00:00Z,24.985,93.49,2024-07-02T08:00:00Z,6.0,1,1,1,1,1,20.0,44.5,74.2,115.5,165.0,222.8,280.5,238.4,350.6,20.0,1,0.764,38.0,170.0,1100.0,-0.04,0.5,24.0,3.04,30.6,0.52,-0.06,0,0.0,999.0,0.82,Manipur SDMA Monsoon Bulletin,[HISTORICAL],none_event_antecedent_window,,
EV-06-Tminus48h,EV-06,MZ-AIZAWL-MELTHUM,Mizoram,Aizawl,2024-05-26T05:30:00Z,23.7271,92.7176,2024-05-28T05:30:00Z,48.0,1,0,0,0,1,3.7,8.3,13.8,28.7,41.0,55.4,69.7,59.2,87.1,3.7,0,0.872,45.0,200.0,920.0,-0.09,0.358,10.43,0.67,4.16,0.52,-0.007,0,0.0,999.0,0.94,Cyclone Remal GSI Report GSI-NER-MZ-2024-019,[HISTORICAL],none_event_antecedent_window,,
EV-06-Tminus36h,EV-06,MZ-AIZAWL-MELTHUM,Mizoram,Aizawl,2024-05-26T17:30:00Z,23.7271,92.7176,2024-05-28T05:30:00Z,36.0,1,0,0,0,1,6.3,13.9,23.1,50.3,71.8,96.9,122.1,103.8,152.6,6.3,0,0.787,45.0,200.0,920.0,-0.09,0.413,14.9,1.12,7.8,0.52,-0.01,0,0.0,999.0,0.94,Cyclone Remal GSI Report GSI-NER-MZ-2024-019,[HISTORICAL],none_event_antecedent_window,,
EV-06-Tminus24h,EV-06,MZ-AIZAWL-MELTHUM,Mizoram,Aizawl,2024-05-27T05:30:00Z,23.7271,92.7176,2024-05-28T05:30:00Z,24.0,1,0,0,1,1,11.2,24.9,41.5,86.1,123.0,166.1,209.1,177.7,261.4,11.2,0,0.673,45.0,200.0,920.0,-0.09,0.468,20.86,2.02,15.6,0.52,-0.015,0,0.0,999.0,0.94,Cyclone Remal GSI Report GSI-NER-MZ-2024-019,[HISTORICAL],none_event_antecedent_window,,
EV-06-Tminus12h,EV-06,MZ-AIZAWL-MELTHUM,Mizoram,Aizawl,2024-05-27T17:30:00Z,23.7271,92.7176,2024-05-28T05:30:00Z,12.0,1,0,1,1,1,18.7,41.5,69.2,121.9,174.2,235.2,296.1,251.7,370.1,18.7,1,0.57,45.0,200.0,920.0,-0.09,0.522,26.22,3.38,31.2,0.52,-0.03,0,0.0,999.0,0.94,Cyclone Remal GSI Report GSI-NER-MZ-2024-019,[HISTORICAL],none_event_antecedent_window,,
EV-06-Tminus6h,EV-06,MZ-AIZAWL-MELTHUM,Mizoram,Aizawl,2024-05-27T23:30:00Z,23.7271,92.7176,2024-05-28T05:30:00Z,6.0,1,1,1,1,1,24.9,55.3,92.2,143.5,205.0,276.8,348.5,296.2,435.6,24.9,1,0.501,45.0,200.0,920.0,-0.09,0.55,29.8,4.27,44.2,0.52,-0.06,0,0.0,999.0,0.94,Cyclone Remal GSI Report GSI-NER-MZ-2024-019,[HISTORICAL],none_event_antecedent_window,,
EV-07-Tminus48h,EV-07,MZ-LUNGLEI-01,Mizoram,Lunglei,2023-08-20T11:00:00Z,22.887,92.74,2023-08-22T11:00:00Z,48.0,1,0,0,0,1,2.7,6.1,10.1,21.0,30.0,40.5,51.0,43.4,63.8,2.7,0,1.13,36.5,190.0,720.0,-0.03,0.312,7.7,0.43,2.24,0.52,-0.007,0,0.0,999.0,0.78,Mizoram PWD / DDMA,[HISTORICAL],none_event_antecedent_window,,
EV-07-Tminus36h,EV-07,MZ-LUNGLEI-01,Mizoram,Lunglei,2023-08-20T23:00:00Z,22.887,92.74,2023-08-22T11:00:00Z,36.0,1,0,0,0,1,4.5,10.1,16.9,36.8,52.5,70.9,89.2,75.8,111.5,4.5,0,1.063,36.5,190.0,720.0,-0.03,0.36,11.0,0.72,4.2,0.52,-0.01,0,0.0,999.0,0.78,Mizoram PWD / DDMA,[HISTORICAL],none_event_antecedent_window,,
EV-07-Tminus24h,EV-07,MZ-LUNGLEI-01,Mizoram,Lunglei,2023-08-21T11:00:00Z,22.887,92.74,2023-08-22T11:00:00Z,24.0,1,0,0,1,1,8.2,18.2,30.4,63.0,90.0,121.5,153.0,130.0,191.2,8.2,0,0.975,36.5,190.0,720.0,-0.03,0.408,15.4,1.3,8.4,0.52,-0.015,0,0.0,999.0,0.78,Mizoram PWD / DDMA,[HISTORICAL],none_event_antecedent_window,,
EV-07-Tminus12h,EV-07,MZ-LUNGLEI-01,Mizoram,Lunglei,2023-08-21T23:00:00Z,22.887,92.74,2023-08-22T11:00:00Z,12.0,1,0,1,1,1,13.7,30.4,50.6,89.2,127.5,172.1,216.8,184.3,271.0,13.7,0,0.896,36.5,190.0,720.0,-0.03,0.456,19.36,2.17,16.8,0.52,-0.03,0,0.0,999.0,0.78,Mizoram PWD / DDMA,[HISTORICAL],none_event_antecedent_window,,
EV-07-Tminus6h,EV-07,MZ-LUNGLEI-01,Mizoram,Lunglei,2023-08-22T05:00:00Z,22.887,92.74,2023-08-22T11:00:00Z,6.0,1,1,1,1,1,18.2,40.5,67.5,105.0,150.0,202.5,255.0,216.8,318.8,18.2,1,0.843,36.5,190.0,720.0,-0.03,0.48,22.0,2.75,23.8,0.52,-0.06,0,0.0,999.0,0.78,Mizoram PWD / DDMA,[HISTORICAL],none_event_antecedent_window,,
EV-08-Tminus48h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-14T09:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,48.0,1,0,0,0,1,4.2,9.3,15.5,32.2,46.0,62.1,78.2,66.5,97.8,4.2,0,0.965,40.0,185.0,510.0,-0.06,0.37,11.2,0.7,4.64,0.52,-0.007,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-08-Tminus36h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-14T21:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,36.0,1,0,0,0,1,7.0,15.5,25.9,56.3,80.5,108.7,136.8,116.3,171.0,7.0,0,0.871,40.0,185.0,510.0,-0.06,0.427,16.0,1.18,8.7,0.52,-0.01,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-08-Tminus24h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-15T09:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,24.0,1,0,0,1,1,12.6,28.0,46.6,96.6,138.0,186.3,234.6,199.4,293.2,12.6,0,0.747,40.0,185.0,510.0,-0.06,0.484,22.4,2.12,17.4,0.52,-0.015,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-08-Tminus12h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-15T21:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,12.0,1,0,1,1,1,21.0,46.6,77.6,136.8,195.5,263.9,332.3,282.5,415.4,21.0,1,0.635,40.0,185.0,510.0,-0.06,0.541,28.16,3.53,34.8,0.52,-0.03,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-08-Tminus6h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-16T03:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,6.0,1,1,1,1,1,27.9,62.1,103.5,161.0,230.0,310.5,391.0,332.3,488.8,27.9,1,0.56,40.0,185.0,510.0,-0.06,0.57,32.0,4.46,49.3,0.52,-0.06,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-09-Tminus48h,EV-09,AS-CACHAR-01,Assam,Cachar,2024-06-16T16:00:00Z,24.833,92.778,2024-06-18T16:00:00Z,48.0,1,0,0,0,1,3.1,6.9,11.5,23.8,34.0,45.9,57.8,49.1,72.2,3.1,0,1.156,35.0,160.0,180.0,-0.03,0.332,8.75,0.51,2.8,0.52,-0.007,0,0.0,999.0,0.8,Assam State Disaster Management Authority (ASDMA),[HISTORICAL],none_event_antecedent_window,,
EV-09-Tminus36h,EV-09,AS-CACHAR-01,Assam,Cachar,2024-06-17T04:00:00Z,24.833,92.778,2024-06-18T16:00:00Z,36.0,1,0,0,0,1,5.2,11.5,19.1,41.6,59.5,80.3,101.1,85.9,126.4,5.2,0,1.08,35.0,160.0,180.0,-0.03,0.383,12.5,0.85,5.25,0.52,-0.01,0,0.0,999.0,0.8,Assam State Disaster Management Authority (ASDMA),[HISTORICAL],none_event_antecedent_window,,
EV-09-Tminus24h,EV-09,AS-CACHAR-01,Assam,Cachar,2024-06-17T16:00:00Z,24.833,92.778,2024-06-18T16:00:00Z,24.0,1,0,0,1,1,9.3,20.6,34.4,71.4,102.0,137.7,173.4,147.4,216.8,9.3,0,0.978,35.0,160.0,180.0,-0.03,0.433,17.5,1.53,10.5,0.52,-0.015,0,0.0,999.0,0.8,Assam State Disaster Management Authority (ASDMA),[HISTORICAL],none_event_antecedent_window,,
EV-09-Tminus12h,EV-09,AS-CACHAR-01,Assam,Cachar,2024-06-18T04:00:00Z,24.833,92.778,2024-06-18T16:00:00Z,12.0,1,0,1,1,1,15.5,34.4,57.4,101.1,144.5,195.1,245.7,208.8,307.1,15.5,0,0.886,35.0,160.0,180.0,-0.03,0.484,22.0,2.55,21.0,0.52,-0.03,0,0.0,999.0,0.8,Assam State Disaster Management Authority (ASDMA),[HISTORICAL],none_event_antecedent_window,,
EV-09-Tminus6h,EV-09,AS-CACHAR-01,Assam,Cachar,2024-06-18T10:00:00Z,24.833,92.778,2024-06-18T16:00:00Z,6.0,1,1,1,1,1,20.7,45.9,76.5,119.0,170.0,229.5,289.0,245.7,361.2,20.7,1,0.825,35.0,160.0,180.0,-0.03,0.51,25.0,3.23,29.75,0.52,-0.06,0,0.0,999.0,0.8,Assam State Disaster Management Authority (ASDMA),[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus48h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-15T12:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,48.0,1,0,0,0,1,6.4,14.2,23.6,49.0,70.0,94.5,119.0,101.1,148.8,6.4,0,0.799,46.0,215.0,1400.0,-0.11,0.39,13.3,0.73,4.96,0.52,-0.007,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus36h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-16T00:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,36.0,1,0,0,0,1,10.6,23.6,39.4,85.8,122.5,165.4,208.2,177.0,260.2,10.6,0,0.69,46.0,215.0,1400.0,-0.11,0.45,19.0,1.23,9.3,0.52,-0.01,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus24h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-16T12:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,24.0,1,0,0,1,1,19.1,42.5,70.9,147.0,210.0,283.5,357.0,303.4,446.2,19.1,1,0.544,46.0,215.0,1400.0,-0.11,0.51,26.6,2.21,18.6,0.52,-0.015,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus12h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-17T00:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,12.0,1,0,1,1,1,31.9,70.9,118.1,208.2,297.5,401.6,505.8,429.9,632.2,31.9,1,0.413,46.0,215.0,1400.0,-0.11,0.57,33.44,3.68,37.2,0.52,-0.03,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus6h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-17T06:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,6.0,1,1,1,1,1,42.5,94.5,157.5,245.0,350.0,472.5,595.0,505.8,743.8,42.5,1,0.326,46.0,215.0,1400.0,-0.11,0.6,38.0,4.66,52.7,0.52,-0.06,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
EV-11-Tminus48h,EV-11,ML-SHILLONG-01,Meghalaya,East Khasi Hills,2024-07-08T10:00:00Z,25.5788,91.8933,2024-07-10T10:00:00Z,48.0,1,0,0,0,1,2.9,6.5,10.8,22.4,32.0,43.2,54.4,46.2,68.0,2.9,0,1.104,37.0,175.0,1520.0,-0.04,0.319,8.22,0.46,2.48,0.52,-0.007,0,0.0,999.0,0.81,Meghalaya SDMA Flood & Landslide Log,[HISTORICAL],none_event_antecedent_window,,
EV-11-Tminus36h,EV-11,ML-SHILLONG-01,Meghalaya,East Khasi Hills,2024-07-08T22:00:00Z,25.5788,91.8933,2024-07-10T10:00:00Z,36.0,1,0,0,0,1,4.9,10.8,18.0,39.2,56.0,75.6,95.2,80.9,119.0,4.9,0,1.034,37.0,175.0,1520.0,-0.04,0.367,11.75,0.78,4.65,0.52,-0.01,0,0.0,999.0,0.81,Meghalaya SDMA Flood & Landslide Log,[HISTORICAL],none_event_antecedent_window,,
EV-11-Tminus24h,EV-11,ML-SHILLONG-01,Meghalaya,East Khasi Hills,2024-07-09T10:00:00Z,25.5788,91.8933,2024-07-10T10:00:00Z,24.0,1,0,0,1,1,8.7,19.4,32.4,67.2,96.0,129.6,163.2,138.7,204.0,8.7,0,0.94,37.0,175.0,1520.0,-0.04,0.416,16.45,1.4,9.3,0.52,-0.015,0,0.0,999.0,0.81,Meghalaya SDMA Flood & Landslide Log,[HISTORICAL],none_event_antecedent_window,,
EV-11-Tminus12h,EV-11,ML-SHILLONG-01,Meghalaya,East Khasi Hills,2024-07-09T22:00:00Z,25.5788,91.8933,2024-07-10T10:00:00Z,12.0,1,0,1,1,1,14.6,32.4,54.0,95.2,136.0,183.6,231.2,196.5,289.0,14.6,0,0.856,37.0,175.0,1520.0,-0.04,0.465,20.68,2.33,18.6,0.52,-0.03,0,0.0,999.0,0.81,Meghalaya SDMA Flood & Landslide Log,[HISTORICAL],none_event_antecedent_window,,
EV-11-Tminus6h,EV-11,ML-SHILLONG-01,Meghalaya,East Khasi Hills,2024-07-10T04:00:00Z,25.5788,91.8933,2024-07-10T10:00:00Z,6.0,1,1,1,1,1,19.4,43.2,72.0,112.0,160.0,216.0,272.0,231.2,340.0,19.4,1,0.8,37.0,175.0,1520.0,-0.04,0.49,23.5,2.94,26.35,0.52,-0.06,0,0.0,999.0,0.81,Meghalaya SDMA Flood & Landslide Log,[HISTORICAL],none_event_antecedent_window,,
EV-12-Tminus48h,EV-12,NL-KOHIMA-01,Nagaland,Kohima,2024-09-01T07:00:00Z,25.675,94.108,2024-09-03T07:00:00Z,48.0,1,0,0,0,1,3.2,7.1,11.8,24.5,35.0,47.2,59.5,50.6,74.4,3.2,0,1.018,39.5,190.0,1440.0,-0.05,0.338,9.1,0.54,3.2,0.52,-0.007,0,0.0,999.0,0.84,Nagaland NSDMA Monsoon Assessment,[HISTORICAL],none_event_antecedent_window,,
